temp,temp
1219,75.0
1220,2016-06-07
1221,75.0
1222,2016-06-08
1223,74.0
1224,2016-06-09
1225,76.0
1226,2016-06-10
1227,75.0
1228,2016-06-11
1229,77.0
1230,2016-06-12
1231,77.0
1232,2016-06-13
1233,79.0
1234,2016-06-14
1235,79.0
1236,2016-06-15
1237,78.0
1238,2016-06-16
1239,79.0
1240,2016-06-17
1241,73.0
1242,2016-06-18
1243,78.0
1244,2016-06-19
1245,79.0
1246,2016-06-20
1247,80.0
1248,2016-06-21
1249,76.0
1250,2016-06-22
1251,79.0
1252,2016-06-23
1253,79.0
1254,2016-06-24
1255,77.0
1256,2016-06-25
1257,80.0
1258,2016-06-26
1259,79.0
1260,2016-06-27
1261,78.0
1262,2016-06-28
1263,78.0
1264,2016-06-29
1265,79.0
1266,2016-06-30
1267,78.0
1268,2017-06-01
1269,81.0
1270,2017-06-02
1271,78.0
1272,2017-06-03
1273,80.0
1274,2017-06-04
1275,79.0
1276,2017-06-05
1277,81.0
1278,2017-06-06
1279,80.0
1280,2017-06-07
1281,81.0
1282,2017-06-08
1283,79.0
1284,2017-06-09
1285,81.0
1286,2017-06-10
1287,78.0
1288,2017-06-11
1289,79.0
1290,2017-06-12
1291,79.0
1292,2017-06-13
1293,75.0
1294,2017-06-14
1295,79.0
1296,2017-06-15
1297,78.0
1298,2017-06-16
1299,80.0
1300,2017-06-17
1301,78.0
1302,2017-06-18
1303,77.0
1304,2017-06-19
1305,78.0
1306,2017-06-20
1307,79.0
1308,2017-06-23
1309,76.0
1310,2017-06-26
1311,80.0
1312,2017-06-29
1313,76.0
1314,2017-06-30
1315,81.0
1316,2010-06-01
1317,77.0
1318,2010-06-02
1319,76.0
1320,2010-06-03
1321,77.0
1322,2010-06-04
1323,75.0
1324,2010-06-07
1325,76.0
1326,2010-06-08
1327,79.0
1328,2010-06-09
1329,79.0
1330,2010-06-10
1331,77.0
1332,2010-06-15
1333,76.0
1334,2010-06-16
1335,77.0
1336,2010-06-17
1337,76.0
1338,2010-06-18
1339,73.0
1340,2010-06-21
1341,76.0
1342,2010-06-22
1343,77.0
1344,2010-06-23
1345,77.0
1346,2010-06-24
1347,78.0
1348,2010-06-25
1349,77.0
1350,2010-06-28
1351,76.0
1352,2010-06-29
1353,78.0
1354,2010-06-30
1355,78.0
1356,2011-06-01
1357,75.0
1358,2011-06-02
1359,77.0
1360,2011-06-03
1361,65.0
1362,2011-06-06
1363,76.0
1364,2011-06-07
1365,74.0
1366,2011-06-08
1367,76.0
1368,2011-06-09
1369,76.0
1370,2011-06-13
1371,77.0
1372,2011-06-14
1373,77.0
1374,2011-06-15
1375,76.0
1376,2011-06-16
1377,77.0
1378,2011-06-17
1379,76.0
1380,2011-06-20
1381,77.0
1382,2011-06-21
1383,74.0
1384,2011-06-22
1385,76.0
1386,2011-06-23
1387,73.0
1388,2011-06-24
1389,75.0
1390,2011-06-27
1391,76.0
1392,2011-06-28
1393,75.0
1394,2011-06-29
1395,76.0
1396,2011-06-30
1397,75.0
1398,2012-06-01
1399,74.0
1400,2012-06-04
1401,74.0
1402,2012-06-05
1403,74.0
1404,2012-06-06
1405,74.0
1406,2012-06-07
1407,76.0
1408,2012-06-08
1409,76.0
1410,2012-06-12
1411,77.0
1412,2012-06-13
1413,77.0
1414,2012-06-14
1415,78.0
1416,2012-06-15
1417,73.0
1418,2012-06-18
1419,75.0
1420,2012-06-19
1421,72.0
1422,2012-06-20
1423,76.0
1424,2012-06-21
1425,76.0
1426,2012-06-22
1427,73.0
1428,2012-06-25
1429,74.0
1430,2012-06-26
1431,72.0
1432,2012-06-27
1433,76.0
1434,2012-06-28
1435,76.0
1436,2012-06-29
1437,76.0
1438,2013-06-03
1439,78.0
1440,2013-06-04
1441,78.0
1442,2013-06-05
1443,78.0
1444,2013-06-06
1445,78.0
1446,2013-06-07
1447,75.0
1448,2013-06-10
1449,77.0
1450,2013-06-12
1451,73.0
1452,2013-06-13
1453,78.0
1454,2013-06-14
1455,75.0
1456,2013-06-17
1457,73.0
1458,2013-06-18
1459,77.0
1460,2013-06-19
1461,80.0
1462,2013-06-20
1463,70.0
1464,2013-06-21
1465,78.0
1466,2013-06-25
1467,72.0
1468,2013-06-26
1469,78.0
1470,2013-06-27
1471,72.0
1472,2013-06-28
1473,78.0
1474,2014-06-02
1475,77.0
1476,2014-06-03
1477,79.0
1478,2014-06-04
1479,77.0
1480,2014-06-05
1481,78.0
1482,2014-06-06
1483,74.0
1484,2014-06-09
1485,79.0
1486,2014-06-10
1487,79.0
1488,2014-06-12
1489,79.0
1490,2014-06-13
1491,79.0
1492,2014-06-16
1493,77.0
1494,2014-06-17
1495,79.0
1496,2014-06-18
1497,78.0
1498,2014-06-19
1499,80.0
1500,2014-06-20
1501,81.0
1502,2014-06-27
1503,81.0
1504,2015-06-10
1505,78.0
1506,2015-06-12
1507,77.0
1508,2015-06-15
1509,78.0
1510,2015-06-16
1511,79.0
1512,2015-06-17
1513,77.0
1514,2015-06-18
1515,79.0
1516,2015-06-19
1517,80.0
1518,2015-06-22
1519,79.0
1520,2015-06-23
1521,78.0
1522,2015-06-24
1523,79.0
1524,2015-06-25
1525,79.0
1526,2015-06-29
1527,79.0
1528,2015-06-30
1529,81.0
1530,2016-06-01
1531,64.0
1532,2016-06-02
1533,65.0
1534,2016-06-03
1535,75.0
